distribution,order_size,condition_index,seed,order,exact_distance,exact_runtime,s_shape_distance,s_shape_gap,s_shape_runtime,return_distance,return_gap,return_runtime,largest_gap_distance,largest_gap_gap,largest_gap_runtime,dqn_completed,dqn_truncated,dqn_all_items_collected,dqn_all_picked_no_finish,dqn_distance,dqn_partial_distance,dqn_gap,dqn_steps,dqn_valid_actions,dqn_invalid_actions,dqn_invalid_action_rate,dqn_items_collected,dqn_items_remaining,dqn_collection_fraction,dqn_runtime,dqn_improvement_vs_s_shape,dqn_improvement_vs_return,dqn_improvement_vs_largest_gap
uniform,5,16,500015,"[(3, 3), (6, 5), (10, 11), (11, 15), (12, 9)]",68.0,0.0005753752775490284,108.0,58.82352941176471,7.804110646247864e-05,114.0,67.64705882352942,7.645785808563232e-05,76.0,11.76470588235294,7.66250304877758e-05,True,False,True,False,114.0,114.0,67.64705882352942,114,114,0,0.0,5,0,1.0,0.012336791027337313,-5.555555555555555,0.0,-50.0
uniform,5,17,500016,"[(2, 3), (6, 9), (8, 11), (10, 15), (12, 7)]",72.0,0.0006102500483393669,108.0,50.0,8.150003850460052e-05,106.0,47.22222222222222,7.708370685577393e-05,80.0,11.11111111111111,7.787486538290977e-05,True,False,True,False,106.0,106.0,47.22222222222222,106,106,0,0.0,5,0,1.0,0.011582083068788052,1.8518518518518516,0.0,-32.5
uniform,5,18,500017,"[(5, 9), (5, 11), (5, 15), (6, 7), (12, 3)]",86.0,0.0005817501805722713,108.0,25.581395348837212,7.870793342590332e-05,96.0,11.627906976744185,7.637497037649155e-05,88.0,2.3255813953488373,7.758289575576782e-05,True,False,True,False,96.0,96.0,11.627906976744185,96,96,0,0.0,5,0,1.0,0.010266083758324385,11.11111111111111,0.0,-9.090909090909092
uniform,5,19,500018,"[(2, 3), (2, 9), (8, 7), (9, 3), (12, 5)]",50.0,0.0003863750025629997,70.0,40.0,7.850024849176407e-05,80.0,60.0,7.558288052678108e-05,56.0,12.0,7.637497037649155e-05,False,True,False,False,nan,23.0,nan,250,23,227,90.8,2,3,0.4,0.026398915797472,nan,nan,nan
uniform,5,20,500019,"[(3, 1), (4, 1), (5, 7), (9, 3), (9, 13)]",68.0,0.0005172090604901314,78.0,14.705882352941178,7.750000804662704e-05,80.0,17.647058823529413,7.533282041549683e-05,70.0,2.941176470588235,7.61253759264946e-05,True,False,True,False,80.0,80.0,17.647058823529413,80,80,0,0.0,5,0,1.0,0.008526833727955818,-2.564102564102564,0.0,-14.285714285714285
uniform,5,21,500020,"[(2, 5), (2, 7), (3, 3), (9, 11), (12, 15)]",66.0,0.0005790418945252895,108.0,63.63636363636363,7.716706022620201e-05,86.0,30.303030303030305,7.516704499721527e-05,72.0,9.090909090909092,7.704179733991623e-05,True,False,True,False,86.0,86.0,30.303030303030305,86,86,0,0.0,5,0,1.0,0.009176457766443491,20.37037037037037,0.0,-19.444444444444446
uniform,5,22,500021,"[(2, 7), (2, 15), (5, 5), (8, 3), (9, 7)]",70.0,0.0005726669915020466,82.0,17.142857142857142,7.716706022620201e-05,78.0,11.428571428571429,7.633306086063385e-05,78.0,11.428571428571429,7.670791819691658e-05,False,True,False,False,nan,46.0,nan,250,46,204,81.6,4,1,0.8,0.027296292129904032,nan,nan,nan
uniform,5,23,500022,"[(1, 1), (6, 5), (8, 3), (9, 7), (12, 5)]",50.0,0.00037120794877409935,66.0,32.0,8.166581392288208e-05,74.0,48.0,7.837498560547829e-05,64.0,28.000000000000004,7.812492549419403e-05,False,True,False,False,nan,250.0,nan,250,250,0,0.0,1,4,0.2,0.02761387499049306,nan,nan,nan
uniform,5,24,500023,"[(3, 5), (3, 9), (5, 1), (6, 5), (11, 15)]",70.0,0.0006634583696722984,82.0,17.142857142857142,8.191680535674095e-05,80.0,14.285714285714285,8.008303120732307e-05,74.0,5.714285714285714,7.912516593933105e-05,True,False,True,False,80.0,80.0,14.285714285714285,80,80,0,0.0,5,0,1.0,0.008569791913032532,2.4390243902439024,0.0,-8.108108108108109
uniform,5,25,500024,"[(2, 15), (8, 5), (10, 5), (10, 7), (12, 11)]",64.0,0.0005929167382419109,82.0,28.125,7.924996316432953e-05,98.0,53.125,7.562479004263878e-05,64.0,0.0,7.641641423106194e-05,True,False,True,False,98.0,98.0,53.125,98,98,0,0.0,5,0,1.0,0.010444959159940481,-19.51219512195122,0.0,-53.125
uniform,5,26,500025,"[(1, 15), (2, 9), (3, 9), (7, 15), (8, 5)]",62.0,0.0005743331275880337,82.0,32.25806451612903,7.795821875333786e-05,66.0,6.451612903225806,7.483316585421562e-05,62.0,0.0,7.645878940820694e-05,True,False,True,False,66.0,66.0,6.451612903225806,66,66,0,0.0,5,0,1.0,0.007071416825056076,19.51219512195122,0.0,-6.451612903225806
uniform,5,27,500026,"[(1, 11), (2, 13), (4, 7), (5, 5), (10, 7)]",58.0,0.0005296249873936176,78.0,34.48275862068966,8.895806968212128e-05,62.0,6.896551724137931,7.591722533106804e-05,68.0,17.24137931034483,9.091664105653763e-05,True,False,True,False,62.0,62.0,6.896551724137931,62,62,0,0.0,5,0,1.0,0.0069111669436097145,20.51282051282051,0.0,8.823529411764707
uniform,5,28,500027,"[(1, 5), (3, 1), (3, 7), (7, 7), (8, 11)]",56.0,0.00047462480142712593,74.0,32.142857142857146,8.004205301404e-05,60.0,7.142857142857142,7.541710510849953e-05,64.0,14.285714285714285,7.587485015392303e-05,True,False,True,False,60.0,60.0,7.142857142857142,60,60,0,0.0,5,0,1.0,0.006688333116471767,18.91891891891892,0.0,6.25
uniform,5,29,500028,"[(1, 9), (4, 9), (9, 3), (10, 11), (12, 13)]",60.0,0.0005464158020913601,78.0,30.0,8.708285167813301e-05,96.0,60.0,8.27079638838768e-05,66.0,10.0,7.924996316432953e-05,False,True,False,False,nan,250.0,nan,250,250,0,0.0,4,1,0.8,0.027640709187835455,nan,nan,nan
uniform,5,30,500029,"[(3, 5), (3, 7), (4, 5), (4, 7), (10, 9)]",50.0,0.00043174996972084045,70.0,40.0,8.38330015540123e-05,54.0,8.0,7.795775309205055e-05,52.0,4.0,7.787486538290977e-05,True,False,True,False,54.0,54.0,8.0,54,54,0,0.0,5,0,1.0,0.005751417018473148,22.857142857142858,0.0,-3.8461538461538463
uniform,5,31,500030,"[(4, 7), (5, 1), (8, 13), (9, 5), (11, 7)]",70.0,0.0005349582061171532,78.0,11.428571428571429,7.854122668504715e-05,92.0,31.428571428571427,7.750000804662704e-05,72.0,2.857142857142857,7.750000804662704e-05,True,False,True,False,92.0,92.0,31.428571428571427,92,92,0,0.0,5,0,1.0,0.009932624641805887,-17.94871794871795,0.0,-27.77777777777778
uniform,5,32,500031,"[(5, 15), (6, 11), (7, 5), (9, 9), (10, 15)]",76.0,0.0006197500042617321,82.0,7.894736842105263,8.233310654759407e-05,94.0,23.684210526315788,7.641687989234924e-05,76.0,0.0,7.720803841948509e-05,True,False,True,False,94.0,94.0,23.684210526315788,94,94,0,0.0,5,0,1.0,0.010215000249445438,-14.634146341463413,0.0,-23.684210526315788
uniform,5,33,500032,"[(2, 11), (7, 13), (8, 5), (9, 15), (11, 11)]",72.0,0.0005796249024569988,82.0,13.88888888888889,7.816683501005173e-05,100.0,38.88888888888889,7.637497037649155e-05,76.0,5.555555555555555,7.695797830820084e-05,True,False,True,False,100.0,100.0,38.88888888888889,100,100,0,0.0,5,0,1.0,0.010589500423520803,-21.951219512195124,0.0,-31.57894736842105
uniform,5,34,500033,"[(1, 15), (2, 11), (5, 15), (6, 7), (12, 15)]",60.0,0.0005763750523328781,82.0,36.666666666666664,7.88751058280468e-05,70.0,16.666666666666664,7.66669400036335e-05,60.0,0.0,7.558334618806839e-05,True,False,True,False,70.0,70.0,16.666666666666664,70,70,0,0.0,5,0,1.0,0.007385749835520983,14.634146341463413,0.0,-16.666666666666664
