distribution,order_size,condition_index,seed,heuristic,exact_distance,dqn_distance,heuristic_distance,dqn_minus_heuristic_distance,dqn_improvement_percent,dqn_optimality_gap,dqn_better_than_heuristic,same_distance
uniform,15,24,520023,S-shape,94.0,152.0,108.0,44.0,-40.74074074074074,61.702127659574465,False,False
uniform,15,24,520023,Return,94.0,152.0,152.0,0.0,0.0,61.702127659574465,False,True
uniform,15,24,520023,Largest Gap,94.0,152.0,98.0,54.0,-55.10204081632652,61.702127659574465,False,False
uniform,15,25,520024,S-shape,108.0,148.0,134.0,14.0,-10.44776119402985,37.03703703703704,False,False
uniform,15,25,520024,Return,108.0,148.0,148.0,0.0,0.0,37.03703703703704,False,True
uniform,15,25,520024,Largest Gap,108.0,148.0,116.0,32.0,-27.586206896551722,37.03703703703704,False,False
uniform,15,26,520025,S-shape,106.0,138.0,134.0,4.0,-2.9850746268656714,30.18867924528302,False,False
uniform,15,26,520025,Return,106.0,138.0,138.0,0.0,0.0,30.18867924528302,False,True
uniform,15,26,520025,Largest Gap,106.0,138.0,116.0,22.0,-18.96551724137931,30.18867924528302,False,False
uniform,15,27,520026,S-shape,112.0,122.0,134.0,-12.0,8.955223880597014,8.928571428571429,True,False
uniform,15,27,520026,Return,112.0,122.0,122.0,0.0,0.0,8.928571428571429,False,True
uniform,15,27,520026,Largest Gap,112.0,122.0,118.0,4.0,-3.389830508474576,8.928571428571429,False,False
uniform,15,28,520027,S-shape,114.0,176.0,134.0,42.0,-31.343283582089555,54.385964912280706,False,False
uniform,15,28,520027,Return,114.0,176.0,176.0,0.0,0.0,54.385964912280706,False,True
uniform,15,28,520027,Largest Gap,114.0,176.0,114.0,62.0,-54.385964912280706,54.385964912280706,False,False
uniform,15,29,520028,S-shape,112.0,148.0,134.0,14.0,-10.44776119402985,32.142857142857146,False,False
uniform,15,29,520028,Return,112.0,148.0,148.0,0.0,0.0,32.142857142857146,False,True
uniform,15,29,520028,Largest Gap,112.0,148.0,118.0,30.0,-25.423728813559322,32.142857142857146,False,False
uniform,15,30,520029,S-shape,98.0,132.0,130.0,2.0,-1.5384615384615385,34.69387755102041,False,False
uniform,15,30,520029,Return,98.0,132.0,132.0,0.0,0.0,34.69387755102041,False,True
uniform,15,30,520029,Largest Gap,98.0,132.0,106.0,26.0,-24.528301886792452,34.69387755102041,False,False
uniform,15,31,520030,S-shape,96.0,180.0,134.0,46.0,-34.32835820895522,87.5,False,False
uniform,15,31,520030,Return,96.0,180.0,180.0,0.0,0.0,87.5,False,True
uniform,15,31,520030,Largest Gap,96.0,180.0,110.0,70.0,-63.63636363636363,87.5,False,False
uniform,15,32,520031,S-shape,84.0,104.0,108.0,-4.0,3.7037037037037033,23.809523809523807,True,False
uniform,15,32,520031,Return,84.0,104.0,104.0,0.0,0.0,23.809523809523807,False,True
uniform,15,32,520031,Largest Gap,84.0,104.0,92.0,12.0,-13.043478260869565,23.809523809523807,False,False
uniform,15,33,520032,S-shape,102.0,138.0,130.0,8.0,-6.153846153846154,35.294117647058826,False,False
uniform,15,33,520032,Return,102.0,138.0,138.0,0.0,0.0,35.294117647058826,False,True
uniform,15,33,520032,Largest Gap,102.0,138.0,114.0,24.0,-21.052631578947366,35.294117647058826,False,False
uniform,15,34,520033,S-shape,108.0,164.0,134.0,30.0,-22.388059701492537,51.85185185185185,False,False
uniform,15,34,520033,Return,108.0,164.0,164.0,0.0,0.0,51.85185185185185,False,True
uniform,15,34,520033,Largest Gap,108.0,164.0,112.0,52.0,-46.42857142857143,51.85185185185185,False,False
uniform,15,35,520034,S-shape,104.0,134.0,108.0,26.0,-24.074074074074073,28.846153846153843,False,False
uniform,15,35,520034,Return,104.0,134.0,134.0,0.0,0.0,28.846153846153843,False,True
uniform,15,35,520034,Largest Gap,104.0,134.0,104.0,30.0,-28.846153846153843,28.846153846153843,False,False
uniform,15,36,520035,S-shape,100.0,158.0,108.0,50.0,-46.2962962962963,57.99999999999999,False,False
uniform,15,36,520035,Return,100.0,158.0,158.0,0.0,0.0,57.99999999999999,False,True
uniform,15,36,520035,Largest Gap,100.0,158.0,100.0,58.0,-57.99999999999999,57.99999999999999,False,False
uniform,15,37,520036,S-shape,104.0,130.0,134.0,-4.0,2.9850746268656714,25.0,True,False
uniform,15,37,520036,Return,104.0,130.0,130.0,0.0,0.0,25.0,False,True
uniform,15,37,520036,Largest Gap,104.0,130.0,104.0,26.0,-25.0,25.0,False,False
uniform,15,38,520037,S-shape,90.0,134.0,104.0,30.0,-28.846153846153843,48.888888888888886,False,False
uniform,15,38,520037,Return,90.0,134.0,134.0,0.0,0.0,48.888888888888886,False,True
uniform,15,38,520037,Largest Gap,90.0,134.0,94.0,40.0,-42.5531914893617,48.888888888888886,False,False
uniform,15,39,520038,S-shape,104.0,124.0,134.0,-10.0,7.462686567164178,19.230769230769234,True,False
uniform,15,39,520038,Return,104.0,124.0,124.0,0.0,0.0,19.230769230769234,False,True
uniform,15,39,520038,Largest Gap,104.0,124.0,108.0,16.0,-14.814814814814813,19.230769230769234,False,False
uniform,15,41,520040,S-shape,96.0,162.0,108.0,54.0,-50.0,68.75,False,False
uniform,15,41,520040,Return,96.0,162.0,162.0,0.0,0.0,68.75,False,True
uniform,15,41,520040,Largest Gap,96.0,162.0,100.0,62.0,-62.0,68.75,False,False
uniform,15,42,520041,S-shape,100.0,132.0,108.0,24.0,-22.22222222222222,32.0,False,False
uniform,15,42,520041,Return,100.0,132.0,132.0,0.0,0.0,32.0,False,True
uniform,15,42,520041,Largest Gap,100.0,132.0,102.0,30.0,-29.411764705882355,32.0,False,False
uniform,15,43,520042,S-shape,102.0,160.0,134.0,26.0,-19.402985074626866,56.86274509803921,False,False
uniform,15,43,520042,Return,102.0,160.0,160.0,0.0,0.0,56.86274509803921,False,True
uniform,15,43,520042,Largest Gap,102.0,160.0,102.0,58.0,-56.86274509803921,56.86274509803921,False,False
uniform,15,44,520043,S-shape,102.0,148.0,108.0,40.0,-37.03703703703704,45.09803921568628,False,False
uniform,15,44,520043,Return,102.0,148.0,148.0,0.0,0.0,45.09803921568628,False,True
uniform,15,44,520043,Largest Gap,102.0,148.0,104.0,44.0,-42.30769230769231,45.09803921568628,False,False
uniform,15,45,520044,S-shape,98.0,118.0,134.0,-16.0,11.940298507462686,20.408163265306122,True,False
uniform,15,45,520044,Return,98.0,118.0,118.0,0.0,0.0,20.408163265306122,False,True
uniform,15,45,520044,Largest Gap,98.0,118.0,108.0,10.0,-9.25925925925926,20.408163265306122,False,False
uniform,15,46,520045,S-shape,110.0,160.0,134.0,26.0,-19.402985074626866,45.45454545454545,False,False
uniform,15,46,520045,Return,110.0,160.0,160.0,0.0,0.0,45.45454545454545,False,True
uniform,15,46,520045,Largest Gap,110.0,160.0,124.0,36.0,-29.03225806451613,45.45454545454545,False,False
uniform,15,47,520046,S-shape,74.0,130.0,134.0,-4.0,2.9850746268656714,75.67567567567568,True,False
uniform,15,47,520046,Return,74.0,130.0,130.0,0.0,0.0,75.67567567567568,False,True
uniform,15,47,520046,Largest Gap,74.0,130.0,94.0,36.0,-38.297872340425535,75.67567567567568,False,False
uniform,15,49,520048,S-shape,102.0,144.0,108.0,36.0,-33.33333333333333,41.17647058823529,False,False
uniform,15,49,520048,Return,102.0,144.0,144.0,0.0,0.0,41.17647058823529,False,True
uniform,15,49,520048,Largest Gap,102.0,144.0,102.0,42.0,-41.17647058823529,41.17647058823529,False,False
uniform,15,50,520049,S-shape,104.0,156.0,134.0,22.0,-16.417910447761194,50.0,False,False
uniform,15,50,520049,Return,104.0,156.0,156.0,0.0,0.0,50.0,False,True
uniform,15,50,520049,Largest Gap,104.0,156.0,112.0,44.0,-39.285714285714285,50.0,False,False
uniform,20,1,530000,S-shape,122.0,180.0,134.0,46.0,-34.32835820895522,47.540983606557376,False,False
uniform,20,1,530000,Return,122.0,180.0,180.0,0.0,0.0,47.540983606557376,False,True
uniform,20,1,530000,Largest Gap,122.0,180.0,126.0,54.0,-42.857142857142854,47.540983606557376,False,False
uniform,20,3,530002,S-shape,120.0,166.0,134.0,32.0,-23.88059701492537,38.333333333333336,False,False
uniform,20,3,530002,Return,120.0,166.0,166.0,0.0,0.0,38.333333333333336,False,True
uniform,20,3,530002,Largest Gap,120.0,166.0,130.0,36.0,-27.692307692307693,38.333333333333336,False,False
uniform,20,4,530003,S-shape,126.0,164.0,134.0,30.0,-22.388059701492537,30.158730158730158,False,False
uniform,20,4,530003,Return,126.0,164.0,164.0,0.0,0.0,30.158730158730158,False,True
uniform,20,4,530003,Largest Gap,126.0,164.0,130.0,34.0,-26.153846153846157,30.158730158730158,False,False
uniform,20,5,530004,S-shape,124.0,176.0,134.0,42.0,-31.343283582089555,41.935483870967744,False,False
uniform,20,5,530004,Return,124.0,176.0,176.0,0.0,0.0,41.935483870967744,False,True
uniform,20,5,530004,Largest Gap,124.0,176.0,136.0,40.0,-29.411764705882355,41.935483870967744,False,False
uniform,20,6,530005,S-shape,114.0,176.0,134.0,42.0,-31.343283582089555,54.385964912280706,False,False
uniform,20,6,530005,Return,114.0,176.0,176.0,0.0,0.0,54.385964912280706,False,True
uniform,20,6,530005,Largest Gap,114.0,176.0,116.0,60.0,-51.724137931034484,54.385964912280706,False,False
uniform,20,7,530006,S-shape,114.0,182.0,134.0,48.0,-35.82089552238806,59.64912280701754,False,False
uniform,20,7,530006,Return,114.0,182.0,182.0,0.0,0.0,59.64912280701754,False,True
uniform,20,7,530006,Largest Gap,114.0,182.0,128.0,54.0,-42.1875,59.64912280701754,False,False
uniform,20,8,530007,S-shape,118.0,174.0,134.0,40.0,-29.850746268656714,47.45762711864407,False,False
uniform,20,8,530007,Return,118.0,174.0,174.0,0.0,0.0,47.45762711864407,False,True
uniform,20,8,530007,Largest Gap,118.0,174.0,156.0,18.0,-11.538461538461538,47.45762711864407,False,False
uniform,20,9,530008,S-shape,114.0,150.0,134.0,16.0,-11.940298507462686,31.57894736842105,False,False
uniform,20,9,530008,Return,114.0,150.0,150.0,0.0,0.0,31.57894736842105,False,True
uniform,20,9,530008,Largest Gap,114.0,150.0,122.0,28.0,-22.950819672131146,31.57894736842105,False,False
uniform,20,10,530009,S-shape,118.0,176.0,134.0,42.0,-31.343283582089555,49.152542372881356,False,False
