distribution,order_size,orders,dqn_completed_orders,dqn_completion_rate,dqn_any_pick_rate,dqn_all_items_collected_rate,dqn_all_picked_no_finish_rate,dqn_mean_collection_fraction,dqn_mean_invalid_action_rate,exact_mean_distance,s_shape_mean_distance,s_shape_mean_gap,return_mean_distance,return_mean_gap,largest_gap_mean_distance,largest_gap_mean_gap,dqn_route_quality_n,dqn_mean_distance_completed,dqn_median_distance_completed,dqn_mean_gap_completed,dqn_median_gap_completed,dqn_mean_improvement_vs_s_shape_completed,dqn_mean_improvement_vs_return_completed,dqn_mean_improvement_vs_largest_gap_completed,exact_mean_runtime,s_shape_mean_runtime,return_mean_runtime,largest_gap_mean_runtime,dqn_mean_runtime
uniform,5,50,40,80.0,94.0,80.0,0.0,0.872,9.175999999999998,64.04,83.88,31.17527640436094,84.64,32.78593305167292,67.88,6.15584621812961,40,84.15,84.0,29.12111041292014,28.054740957966764,0.8212205132936837,0.0,-23.50985861593469,0.0005499465670436621,7.965664379298687e-05,7.653753273189068e-05,7.726076059043407e-05,0.01269790339283645
uniform,10,50,48,96.0,100.0,96.0,0.0,0.9840000000000001,1.712,86.92,113.6,30.98992752207849,120.56,39.09373748520916,91.0,4.795576704953148,48,120.5,120.0,38.24248448360081,33.33333333333333,-6.6390581406128675,0.0,-33.005399046485614,0.0006696425285190343,8.952327072620392e-05,8.213169872760773e-05,8.369334973394871e-05,0.014081468321383
uniform,15,50,46,92.0,98.0,92.0,0.0,0.9506666666666667,3.6320000000000006,103.48,125.48,21.914885414505257,149.04,44.62594875120697,110.08,6.618835666424864,46,147.8695652173913,148.0,43.0995997521672,42.32334443211247,-17.87340610215367,0.0,-34.273719453889605,0.0006304333545267582,8.178245276212693e-05,8.160162717103958e-05,8.33008624613285e-05,0.016886002449318767
uniform,20,50,44,88.0,98.0,88.0,0.0,0.924,3.864,115.28,133.32,16.20186734854365,167.96,46.20351159686865,124.72,8.225538086446623,44,166.95454545454547,166.0,44.368916649805115,42.640692640692635,-25.391138712034238,-0.050505050505050504,-33.6728863641773,0.0006884324550628662,8.740839548408985e-05,8.15008394420147e-05,8.25599767267704e-05,0.018943269085139037
clustered,5,50,31,62.0,78.0,62.0,0.0,0.7,20.936,50.04,63.64,26.354432373783364,63.12,27.554298766772003,52.36,4.416786539887118,31,64.70967741935483,64.0,18.48010351372061,16.666666666666664,2.0887190484408826,0.0,-14.649336780067108,0.00041142583824694157,7.826928049325943e-05,7.660750299692153e-05,7.602252066135406e-05,0.014200236657634377
clustered,10,50,37,74.0,96.0,74.0,0.0,0.8180000000000001,16.624000000000002,56.0,71.4,28.414222103508543,78.0,40.45150325705775,60.08,7.885667144049627,37,77.89189189189189,78.0,35.639220430966155,34.285714285714285,-7.841606903316134,0.0,-29.16336032900103,0.00044025331735610964,7.971258834004403e-05,7.772751152515411e-05,7.78115913271904e-05,0.012966315047815442
clustered,15,50,38,76.0,100.0,76.0,0.0,0.852,16.543999999999997,62.04,73.12,18.385903936276407,85.68,38.96099473091948,63.68,2.7858341282914343,38,86.36842105263158,89.0,36.36997813235278,34.38423645320197,-15.317658824636343,0.0,-33.27226423595559,0.000486160721629858,8.532077074050903e-05,8.214833214879036e-05,8.119008503854275e-05,0.013659634068608284
clustered,20,50,29,58.0,100.0,58.0,0.0,0.7439999999999999,38.488,62.24,70.56,13.664839508205521,85.96,38.58499102587448,63.48,2.0814004954402265,29,86.89655172413794,82.0,36.504484881886626,34.48275862068966,-20.681644580827957,0.0,-34.08104538737866,0.0004793591145426035,8.509259670972824e-05,8.13825149089098e-05,8.044329471886158e-05,0.01750923991203308
