distribution,order_size,orders,completed,failures,completion_rate,wilson_95_lower,wilson_95_upper,mean_collection_fraction,mean_invalid_action_rate
uniform,5,50,40,10,80.0,66.9628940677746,88.75624998422389,0.872,9.175999999999998
uniform,10,50,48,2,96.0,86.53990931249298,98.89611156723801,0.9840000000000001,1.712
uniform,15,50,46,4,92.0,81.16175308165717,96.84504859114071,0.9506666666666667,3.6320000000000006
uniform,20,50,44,6,88.0,76.19518261679701,94.38239984906772,0.924,3.864
clustered,5,50,31,19,62.0,48.150446930992985,74.1372106898064,0.7,20.936
clustered,10,50,37,13,74.0,60.44684273515117,84.12847250644762,0.8180000000000001,16.624000000000002
clustered,15,50,38,12,76.0,62.58731624205709,85.70260860300827,0.852,16.543999999999997
clustered,20,50,29,21,58.0,44.23344176857824,70.62499664528801,0.7439999999999999,38.488
