distribution,order_size,condition_orders,paired_route_quality_n,dqn_completion_rate,exact_mean_distance,exact_median_distance,dqn_mean_distance,dqn_median_distance,dqn_mean_gap,dqn_median_gap,s_shape_mean_distance,s_shape_median_distance,s_shape_mean_gap,return_mean_distance,return_median_distance,return_mean_gap,largest_gap_mean_distance,largest_gap_median_distance,largest_gap_mean_gap
uniform,5,50,40,80.0,65.25,66.0,84.15,84.0,29.12111041292014,28.054740957966764,85.95,82.0,31.901105550848637,84.15,84.0,29.12111041292014,68.35,69.0,4.751723642458208
uniform,10,50,48,96.0,87.33333333333333,88.0,120.5,120.0,38.24248448360081,33.33333333333333,113.83333333333333,108.0,30.55498402597462,120.5,120.0,38.24248448360081,91.04166666666667,91.0,4.241424147024609
uniform,15,50,46,92.0,103.73913043478261,104.0,147.8695652173913,148.0,43.0995997521672,42.32334443211247,126.1304347826087,134.0,22.339798420968187,147.8695652173913,148.0,43.0995997521672,110.52173913043478,111.0,6.81360635095706
uniform,20,50,44,88.0,116.0,118.0,166.95454545454547,166.0,44.368916649805115,42.640692640692635,133.22727272727272,134.0,15.306235423506786,166.86363636363637,166.0,44.27615227132645,125.5909090909091,128.0,8.31279223492131
clustered,5,50,31,62.0,54.70967741935484,56.0,64.70967741935483,64.0,18.48010351372061,16.666666666666664,68.38709677419355,74.0,23.893834899768912,64.70967741935483,64.0,18.48010351372061,56.96774193548387,58.0,3.874471311969069
clustered,10,50,37,74.0,57.729729729729726,56.0,77.89189189189189,78.0,35.639220430966155,34.285714285714285,72.43243243243244,74.0,26.00652644272189,77.89189189189189,78.0,35.639220430966155,60.7027027027027,62.0,5.344121340089082
clustered,15,50,38,76.0,63.63157894736842,66.0,86.36842105263158,89.0,36.36997813235278,34.38423645320197,74.94736842105263,76.0,18.34021932601473,86.36842105263158,89.0,36.36997813235278,65.21052631578948,68.0,2.616800186459629
clustered,20,50,29,58.0,63.86206896551724,64.0,86.89655172413794,82.0,36.504484881886626,34.48275862068966,72.06896551724138,74.0,13.115031855740797,86.89655172413794,82.0,36.504484881886626,65.03448275862068,66.0,1.846579262640969
