method,n,mean_seconds,median_seconds,std_seconds,min_seconds,max_seconds,mean_ms,median_ms,std_ms
DQN,400,0.015118008616846005,0.01316414610482745,0.007320189526830634,0.0046412502415478,0.0405638329684734,15.118008616846005,13.16414610482745,7.320189526830634
Exact,400,0.000544456737115928,0.00057500018738205,0.00016407918951837582,0.0001850826665759,0.0021133329719305,0.544456737115928,0.5750001873820499,0.16407918951837583
Largest Gap,400,8.028530515730345e-05,7.958291098475456e-05,5.278018005891355e-06,7.304176688194275e-05,0.0001279581338167,0.08028530515730345,0.07958291098475456,0.005278018005891355
Return,400,7.995469495654042e-05,7.960386574268341e-05,5.592700435988907e-06,7.379194721579552e-05,0.0001603751443326,0.07995469495654042,0.07960386574268341,0.005592700435988907
S-shape,400,8.334574988111769e-05,8.047930896282196e-05,1.794291444495193e-05,7.629208266735077e-05,0.0003560418263077,0.08334574988111769,0.08047930896282196,0.01794291444495193
